,band_combo,banded,bird,get_banded_display,get_life_stage_guess_display,get_sex_guess_display,id,life_stage_guess,revisit,sex_guess,sighting,sighting__date_sighted,sighting__point_location,sighting__time_sighted
3438,Black H on Blue,readable,"{'slug': 'jesse', 'status': 'Alive', 'sex': 'Male', 'bird_extended': {'description': ""Jesse can often be found investigating Deaths Corner or Candy's Bend.\r\n\r\nFor a long time he sported 'old style' metal bands which lost most of their colour—you could often make out the number on his metal band (V-0026) or small amounts of colour in the original orange bands.\r\n\r\nIn August 2018 he was rebanded with brand new bright plastic bands.\r\n\r\nWe think Jesse is at least 9 years old."", 'is_featured': False, 'sponsor_name': None, 'sponsor_website': None, 'profile_picture': {'large': 'https://media.keadatabase.nz/media/__sized__/birds/jesse/2017-03-16_10.22.22-crop-c0-5__0-5-500x500-70.jpg', 'thumbnail': 'https://media.keadatabase.nz/media/__sized__/birds/jesse/2017-03-16_10.22.22-crop-c0-5__0-5-350x250-70.jpg', 'full_size': 'https://media.keadatabase.nz/media/birds/jesse/2017-03-16_10.22.22.jpg'}, 'profile_picture_attribution': 'Martina Scheistl'}, 'get_age': 9, 'get_life_stage': 'Adult', 'study_area': 'Waimakariri', 'band_combo': 'Black H on Light Blue', 'name': 'Jesse', 'birthday': '2010-01-01', 'primary_band': 'V-0026', 'date_modified': '2018-04-04T11:00:32.202093+12:00', 'date_imported': '2017-06-28T00:21:23.326995+12:00'}","Banded, readable",Adult,Male,4753,adult,False,male,2280,2018-11-17,"{'type': 'Point', 'coordinates': [171.56414482407072, -42.94161992900942]}",19:00:00
3439,,unbanded,,Not banded,,,4755,,False,,2280,2018-11-17,"{'type': 'Point', 'coordinates': [171.56414482407072, -42.94161992900942]}",19:00:00
3440,Black 3 on blue,readable,"{'slug': 'aunty-bell', 'status': 'Alive', 'sex': 'Female', 'bird_extended': {'description': 'Aunty Bell was banded as a juvenile in Arthur\'s Pass township by Mark and Kate in March 2018. Looking on was Mike Vincent a keen birder from the North Island, who then agreed to name and sponsor the kea. He and his partner Helen, spend time at Miranda, on the Firth of Thames, banding shorebirds.\r\nAunty Bell is named after ""an old labrador who lives down the road. She has a good nature but does get up to mischief and steals food. She was most likely a kea in a previous life."" \r\nKea\'s mischievous behaviour is a result of their very high intelligence and their desire to investigate everything new. Unfortunately it does get them into trouble.', 'is_featured': False, 'sponsor_name': 'Mike Vincent', 'sponsor_website': None, 'profile_picture': {'large': 'https://media.keadatabase.nz/media/__sized__/birds/aunty-bell/Aunty_Bell1-crop-c0-27__0-36-500x500-70.jpg', 'thumbnail': 'https://media.keadatabase.nz/media/__sized__/birds/aunty-bell/Aunty_Bell1-crop-c0-27__0-36-350x250-70.jpg', 'full_size': 'https://media.keadatabase.nz/media/birds/aunty-bell/Aunty_Bell1.jpg'}, 'profile_picture_attribution': 'Mike Vincent'}, 'get_age': 2, 'get_life_stage': 'Sub-Adult', 'study_area': 'Waimakariri', 'band_combo': 'Black 3 on Light Blue', 'name': 'Aunty Bell', 'birthday': '2017-01-01', 'primary_band': 'V-2192', 'date_modified': '2018-04-04T11:00:22.451813+12:00', 'date_imported': '2018-03-12T14:31:28+13:00'}","Banded, readable",,,4658,,False,,2226,2018-11-17,"{'type': 'Point', 'coordinates': [171.562044908698, -42.940394634079496]}",18:45:00
3441,,unknown,,Couldn't tell,,,4660,,False,,2228,2018-11-17,"{'type': 'Point', 'coordinates': [169.49637010181002, -43.627183860065955]}",17:00:00
3442,,unknown,,Couldn't tell,,,4676,,False,,2235,2018-11-17,"{'type': 'Point', 'coordinates': [170.19613827101375, -43.3820305101769]}",14:50:00
3443,,unknown,,Couldn't tell,,,4675,,False,,2235,2018-11-17,"{'type': 'Point', 'coordinates': [170.19613827101375, -43.3820305101769]}",14:50:00
3444,,unknown,,Couldn't tell,,,4667,,False,,2230,2018-11-16,"{'type': 'Point', 'coordinates': [172.28319551571644, -42.487117268553156]}",18:00:00
3445,,unknown,,Couldn't tell,,,4665,,False,,2230,2018-11-16,"{'type': 'Point', 'coordinates': [172.28319551571644, -42.487117268553156]}",18:00:00
3446,,unknown,,Couldn't tell,,,4666,,False,,2230,2018-11-16,"{'type': 'Point', 'coordinates': [172.28319551571644, -42.487117268553156]}",18:00:00
3447,,unknown,,Couldn't tell,,,4674,,False,,2234,2018-11-16,"{'type': 'Point', 'coordinates': [167.98125743865967, -44.76419539688315]}",13:05:00
3448,,unknown,,Couldn't tell,,,4673,,False,,2234,2018-11-16,"{'type': 'Point', 'coordinates': [167.98125743865967, -44.76419539688315]}",13:05:00
3449,,unknown,,Couldn't tell,,,4919,,False,,2247,2018-11-16,"{'type': 'Point', 'coordinates': [171.82104714307368, -42.94186354187492]}",12:00:00
3450,,unknown,,Couldn't tell,,,4655,,False,,2223,2018-11-16,"{'type': 'Point', 'coordinates': [170.07016314016377, -43.71567079042089]}",09:58:00
3451,,unbanded,,Not banded,Sub-Adult,Male,4653,sub-adult,False,male,2221,2018-11-15,"{'type': 'Point', 'coordinates': [171.01727799488117, -43.02736195759223]}",18:00:00
3452,,unknown,,Couldn't tell,,,4830,,False,,2326,2018-11-15,"{'type': 'Point', 'coordinates': [171.55611436813984, -42.8882123566343]}",16:00:00
3453,Pink J,readable,"{'slug': 'ken-joe', 'status': 'Alive', 'sex': 'Male', 'bird_extended': {'description': ""Ken Joe was banded as an fledgling at Otira Viaduct on March 2018 by Martina and Mark. The photo shows him feeding on coprosma berries. Kea are perfectly able to feed for themselves in the mountains and do not need to be feed by humans. Please do not feed them.\r\n\r\nKen Joe is sponsored in honour of the founders of the Maclean Trust, Joan and Joe Maclean. They also sponsored Joan who is almost certainly Ken Joe's sibling."", 'is_featured': False, 'sponsor_name': 'Maclean Trust', 'sponsor_website': None, 'profile_picture': {'large': 'https://media.keadatabase.nz/media/__sized__/birds/ken-joe/WhiteJonPink3-crop-c0-5__0-5-500x500-70.jpg', 'thumbnail': 'https://media.keadatabase.nz/media/__sized__/birds/ken-joe/WhiteJonPink3-crop-c0-5__0-5-350x250-70.jpg', 'full_size': 'https://media.keadatabase.nz/media/birds/ken-joe/WhiteJonPink3.jpg'}, 'profile_picture_attribution': 'Mark Brabyn'}, 'get_age': 1, 'get_life_stage': 'Juvenile', 'study_area': 'Waimakariri', 'band_combo': 'White J on Pink', 'name': 'Ken Joe', 'birthday': '2018-01-01', 'primary_band': 'V-2194', 'date_modified': '2018-04-30T11:03:46.326974+12:00', 'date_imported': '2018-04-30T11:03:41+12:00'}","Banded, readable",Juvenile,,4642,juvenile,False,,2216,2018-11-15,"{'type': 'Point', 'coordinates': [171.55632275455895, -42.888338546874735]}",15:40:00
3454,,unbanded,,Not banded,,,4636,,False,,2214,2018-11-15,"{'type': 'Point', 'coordinates': [170.15, -43.424]}",13:25:00
3455,,unknown,,Couldn't tell,,,4637,,False,,2214,2018-11-15,"{'type': 'Point', 'coordinates': [170.15, -43.424]}",13:25:00
3456,,unbanded,,Not banded,,,7647,,False,,3733,2018-11-15,"{'type': 'Point', 'coordinates': [168.44680470756848, -44.85433073324273]}",12:00:00
3457,,unknown,,Couldn't tell,,,4693,,False,,2246,2018-11-15,"{'type': 'Point', 'coordinates': [171.81795278222367, -42.82437845877092]}",10:39:00
3458,,unknown,,Couldn't tell,Juvenile,,4657,juvenile,False,,2225,2018-11-14,"{'type': 'Point', 'coordinates': [171.6710507139197, -42.88998916891827]}",18:30:00
3459,White J on pink band (right leg),readable,"{'slug': 'ken-joe', 'status': 'Alive', 'sex': 'Male', 'bird_extended': {'description': ""Ken Joe was banded as an fledgling at Otira Viaduct on March 2018 by Martina and Mark. The photo shows him feeding on coprosma berries. Kea are perfectly able to feed for themselves in the mountains and do not need to be feed by humans. Please do not feed them.\r\n\r\nKen Joe is sponsored in honour of the founders of the Maclean Trust, Joan and Joe Maclean. They also sponsored Joan who is almost certainly Ken Joe's sibling."", 'is_featured': False, 'sponsor_name': 'Maclean Trust', 'sponsor_website': None, 'profile_picture': {'large': 'https://media.keadatabase.nz/media/__sized__/birds/ken-joe/WhiteJonPink3-crop-c0-5__0-5-500x500-70.jpg', 'thumbnail': 'https://media.keadatabase.nz/media/__sized__/birds/ken-joe/WhiteJonPink3-crop-c0-5__0-5-350x250-70.jpg', 'full_size': 'https://media.keadatabase.nz/media/birds/ken-joe/WhiteJonPink3.jpg'}, 'profile_picture_attribution': 'Mark Brabyn'}, 'get_age': 1, 'get_life_stage': 'Juvenile', 'study_area': 'Waimakariri', 'band_combo': 'White J on Pink', 'name': 'Ken Joe', 'birthday': '2018-01-01', 'primary_band': 'V-2194', 'date_modified': '2018-04-30T11:03:46.326974+12:00', 'date_imported': '2018-04-30T11:03:41+12:00'}","Banded, readable",Juvenile,Male,4635,juvenile,False,male,2213,2018-11-14,"{'type': 'Point', 'coordinates': [171.55684479748768, -42.88823830466426]}",16:36:00
3460,,unbanded,,Not banded,Adult,,4867,adult,False,,2349,2018-11-14,"{'type': 'Point', 'coordinates': [170.0759306602223, -43.68789173912549]}",16:30:00
3461,,unbanded,,Not banded,,,4651,,False,,2220,2018-11-14,"{'type': 'Point', 'coordinates': [171.01429507581926, -43.0346420346071]}",15:30:00
3462,,unknown,,Couldn't tell,,,4652,,False,,2220,2018-11-14,"{'type': 'Point', 'coordinates': [171.01429507581926, -43.0346420346071]}",15:30:00
3463,,unknown,,Couldn't tell,,,4668,,False,,2207,2018-11-14,"{'type': 'Point', 'coordinates': [171.56152849368613, -42.93929371472264]}",13:20:00
3464,,unknown,,Couldn't tell,Adult,,4634,adult,False,,2212,2018-11-14,"{'type': 'Point', 'coordinates': [171.54022705967222, -42.94033831524078]}",12:15:00
3465,,unknown,,Couldn't tell,,,4628,,False,,2210,2018-11-14,"{'type': 'Point', 'coordinates': [171.55383052545255, -42.886407926002555]}",11:00:00
3466,,unknown,,Couldn't tell,,,4629,,False,,2210,2018-11-14,"{'type': 'Point', 'coordinates': [171.55383052545255, -42.886407926002555]}",11:00:00
3467,,unbanded,,Not banded,Juvenile,Male,4630,juvenile,False,male,2211,2018-11-14,"{'type': 'Point', 'coordinates': [171.53635605590827, -42.94322284357247]}",10:50:00
3468,,unknown,,Couldn't tell,Juvenile,Male,4632,juvenile,False,male,2211,2018-11-14,"{'type': 'Point', 'coordinates': [171.53635605590827, -42.94322284357247]}",10:50:00
3469,,unbanded,,Not banded,Juvenile,Male,4631,juvenile,False,male,2211,2018-11-14,"{'type': 'Point', 'coordinates': [171.53635605590827, -42.94322284357247]}",10:50:00
3470,,unknown,,Couldn't tell,Juvenile,,4633,juvenile,False,,2211,2018-11-14,"{'type': 'Point', 'coordinates': [171.53635605590827, -42.94322284357247]}",10:50:00
3471,,unbanded,,Not banded,Adult,Male,4857,adult,False,male,2345,2018-11-13,"{'type': 'Point', 'coordinates': [168.1071971442751, -44.80916357570024]}",15:50:00
3472,,unbanded,,Not banded,Juvenile,,4627,juvenile,False,,2209,2018-11-13,"{'type': 'Point', 'coordinates': [171.53598613012696, -42.94315810594052]}",12:00:00
3473,,unbanded,,Not banded,Juvenile,,4626,juvenile,False,,2209,2018-11-13,"{'type': 'Point', 'coordinates': [171.53598613012696, -42.94315810594052]}",12:00:00
3474,Black 2 on Yellow,readable,"{'slug': 'kinky', 'status': 'Alive', 'sex': 'Male', 'bird_extended': {'description': 'Kinky was banded in January 2015 at Deaths Corner by researcher Clio Reid. He is seen here photographed just recently near Scotts Track.', 'is_featured': False, 'sponsor_name': None, 'sponsor_website': None, 'profile_picture': {'large': 'https://media.keadatabase.nz/media/__sized__/birds/kinky/Kea_Scotts1-crop-c0-5__0-5-500x500-70.jpg', 'thumbnail': 'https://media.keadatabase.nz/media/__sized__/birds/kinky/Kea_Scotts1-crop-c0-5__0-5-350x250-70.jpg', 'full_size': 'https://media.keadatabase.nz/media/birds/kinky/Kea_Scotts1.jpg'}, 'profile_picture_attribution': 'Peter Jahn'}, 'get_age': 8, 'get_life_stage': 'Adult', 'study_area': 'Waimakariri', 'band_combo': 'Black 2 on Yellow', 'name': 'Kinky', 'birthday': '2011-01-01', 'primary_band': 'V-1650', 'date_modified': '2018-04-04T11:00:24.391865+12:00', 'date_imported': '2017-06-28T00:21:24.271222+12:00'}","Banded, readable",Adult,Male,4624,adult,False,male,2209,2018-11-13,"{'type': 'Point', 'coordinates': [171.53598613012696, -42.94315810594052]}",12:00:00
3475,,unbanded,,Not banded,Juvenile,,4625,juvenile,False,,2209,2018-11-13,"{'type': 'Point', 'coordinates': [171.53598613012696, -42.94315810594052]}",12:00:00
3476,,unknown,,Couldn't tell,,,4659,,False,,2227,2018-11-13,"{'type': 'Point', 'coordinates': [171.55683517456367, -42.88797667367772]}",11:15:00
3477,,unknown,,Couldn't tell,,,4649,,False,,2217,2018-11-13,"{'type': 'Point', 'coordinates': [169.82874155044553, -43.40830556440699]}",06:00:00
3478,,unknown,,Couldn't tell,,,4646,,False,,2217,2018-11-13,"{'type': 'Point', 'coordinates': [169.82874155044553, -43.40830556440699]}",06:00:00
3479,,unknown,,Couldn't tell,,,4647,,False,,2217,2018-11-13,"{'type': 'Point', 'coordinates': [169.82874155044553, -43.40830556440699]}",06:00:00
3480,,unknown,,Couldn't tell,,,4648,,False,,2217,2018-11-13,"{'type': 'Point', 'coordinates': [169.82874155044553, -43.40830556440699]}",06:00:00
3481,,unbanded,,Not banded,,,4645,,False,,2217,2018-11-13,"{'type': 'Point', 'coordinates': [169.82874155044553, -43.40830556440699]}",06:00:00
3482,,unbanded,,Not banded,,,4644,,False,,2217,2018-11-13,"{'type': 'Point', 'coordinates': [169.82874155044553, -43.40830556440699]}",06:00:00
3483,,unbanded,,Not banded,,,4643,,False,,2217,2018-11-13,"{'type': 'Point', 'coordinates': [169.82874155044553, -43.40830556440699]}",06:00:00
3484,V-0188,readable,"{'slug': 'raoul', 'status': 'Alive', 'sex': 'Male', 'bird_extended': None, 'get_age': 9, 'get_life_stage': 'Adult', 'study_area': 'Waimakariri', 'band_combo': 'Purple / Black - x / Metal', 'name': 'Raoul', 'birthday': '2010-01-01', 'primary_band': 'V-0008', 'date_modified': '2018-04-04T11:00:39.071680+12:00', 'date_imported': '2017-06-28T00:21:29.825525+12:00'}","Banded, readable",Adult,Male,4650,adult,False,male,2218,2018-11-12,"{'type': 'Point', 'coordinates': [171.6397435937759, -42.96332003908447]}",18:30:00
3485,Black H on light blue,readable,"{'slug': 'jesse', 'status': 'Alive', 'sex': 'Male', 'bird_extended': {'description': ""Jesse can often be found investigating Deaths Corner or Candy's Bend.\r\n\r\nFor a long time he sported 'old style' metal bands which lost most of their colour—you could often make out the number on his metal band (V-0026) or small amounts of colour in the original orange bands.\r\n\r\nIn August 2018 he was rebanded with brand new bright plastic bands.\r\n\r\nWe think Jesse is at least 9 years old."", 'is_featured': False, 'sponsor_name': None, 'sponsor_website': None, 'profile_picture': {'large': 'https://media.keadatabase.nz/media/__sized__/birds/jesse/2017-03-16_10.22.22-crop-c0-5__0-5-500x500-70.jpg', 'thumbnail': 'https://media.keadatabase.nz/media/__sized__/birds/jesse/2017-03-16_10.22.22-crop-c0-5__0-5-350x250-70.jpg', 'full_size': 'https://media.keadatabase.nz/media/birds/jesse/2017-03-16_10.22.22.jpg'}, 'profile_picture_attribution': 'Martina Scheistl'}, 'get_age': 9, 'get_life_stage': 'Adult', 'study_area': 'Waimakariri', 'band_combo': 'Black H on Light Blue', 'name': 'Jesse', 'birthday': '2010-01-01', 'primary_band': 'V-0026', 'date_modified': '2018-04-04T11:00:32.202093+12:00', 'date_imported': '2017-06-28T00:21:23.326995+12:00'}","Banded, readable",Adult,Male,4623,adult,False,male,2208,2018-11-12,"{'type': 'Point', 'coordinates': [171.56047056822626, -42.933872994265116]}",17:30:00
3486,,unbanded,,Not banded,Juvenile,Male,4858,juvenile,False,male,2346,2018-11-12,"{'type': 'Point', 'coordinates': [168.12880348758398, -44.813625233388294]}",13:15:00
3487,"Metal, on both legs",unreadable,,"Banded, unreadable",,,5273,,False,,2572,2018-11-11,"{'type': 'Point', 'coordinates': [167.97315623047078, -44.763308520287126]}",17:25:00
3488,,unbanded,,Not banded,,,5275,,False,,2572,2018-11-11,"{'type': 'Point', 'coordinates': [167.97315623047078, -44.763308520287126]}",17:25:00
3489,,unbanded,,Not banded,,,5274,,False,,2572,2018-11-11,"{'type': 'Point', 'coordinates': [167.97315623047078, -44.763308520287126]}",17:25:00
3490,,unbanded,,Not banded,,,4831,,False,,2327,2018-11-11,"{'type': 'Point', 'coordinates': [171.70463630355331, -43.12556007922019]}",17:00:00
3491,Black H on light blue,readable,"{'slug': 'jesse', 'status': 'Alive', 'sex': 'Male', 'bird_extended': {'description': ""Jesse can often be found investigating Deaths Corner or Candy's Bend.\r\n\r\nFor a long time he sported 'old style' metal bands which lost most of their colour—you could often make out the number on his metal band (V-0026) or small amounts of colour in the original orange bands.\r\n\r\nIn August 2018 he was rebanded with brand new bright plastic bands.\r\n\r\nWe think Jesse is at least 9 years old."", 'is_featured': False, 'sponsor_name': None, 'sponsor_website': None, 'profile_picture': {'large': 'https://media.keadatabase.nz/media/__sized__/birds/jesse/2017-03-16_10.22.22-crop-c0-5__0-5-500x500-70.jpg', 'thumbnail': 'https://media.keadatabase.nz/media/__sized__/birds/jesse/2017-03-16_10.22.22-crop-c0-5__0-5-350x250-70.jpg', 'full_size': 'https://media.keadatabase.nz/media/birds/jesse/2017-03-16_10.22.22.jpg'}, 'profile_picture_attribution': 'Martina Scheistl'}, 'get_age': 9, 'get_life_stage': 'Adult', 'study_area': 'Waimakariri', 'band_combo': 'Black H on Light Blue', 'name': 'Jesse', 'birthday': '2010-01-01', 'primary_band': 'V-0026', 'date_modified': '2018-04-04T11:00:32.202093+12:00', 'date_imported': '2017-06-28T00:21:23.326995+12:00'}","Banded, readable",Adult,Male,4614,adult,False,male,2201,2018-11-11,"{'type': 'Point', 'coordinates': [171.5624356269836, -42.94189434337159]}",16:10:00
3492,,unbanded,,Not banded,,,4621,,False,,2203,2018-11-11,"{'type': 'Point', 'coordinates': [168.61498832702634, -45.007474347725314]}",13:00:00
3493,,unbanded,,Not banded,,,4620,,False,,2203,2018-11-11,"{'type': 'Point', 'coordinates': [168.61498832702634, -45.007474347725314]}",13:00:00
3494,,unbanded,,Not banded,,,4656,,False,,2224,2018-11-11,"{'type': 'Point', 'coordinates': [172.81065357126258, -41.82820437152752]}",12:00:00
3495,yellow G on black,readable,"{'slug': 'tuhura', 'status': 'Alive', 'sex': 'Male', 'bird_extended': {'description': 'Tuhura (meaning ""explore"") was banded at Deaths Corner in April 2017 as a fledgling. Valarie, Jane Goodall and Hopey were all banded at a similar time to Tuhura and some of them are likely to be his siblings.\r\n\r\nTuhura\'s name was chosen after a naming poll by Active Adventures who are one of the major sponsors of this project. \r\n\r\nUpdate August/September 2018: Wondering why Tuhura  - one of the most highly sighted kea - hasn\'t been seen for a while? He spends a lot of his time in the carpark overlooking the Otira Viaduct. In late August, he was hit by a car or had some sort of collision accident in the carpark and was found by the team looking very concussed, injured and worse for wear. We took him into the South Island Wildlife Hospital straight away and he has been treated by the wonderful team there. He has had to have eye surgery and now one eye has been removed. We\'ll provide more information as it comes to light.\r\n\r\nUpdate: October 2018: Tuhura is back! After amazing treatment by Dr Pauline and team after his accident, Tuhura was released back into the wild in mid October. He has regularly been seen by visitors and seems to be coping well with his missing eye, compensating in other ways. Please take special care around this bird as his responses are still compromised as he gets used to living with just one eye.', 'is_featured': True, 'sponsor_name': 'Active Adventures', 'sponsor_website': 'http://activeadventures.com/', 'profile_picture': {'large': 'https://media.keadatabase.nz/media/__sized__/birds/tuhura/tuhura2-crop-c0-45__0-28-500x500-70.jpg', 'thumbnail': 'https://media.keadatabase.nz/media/__sized__/birds/tuhura/tuhura2-crop-c0-45__0-28-350x250-70.jpg', 'full_size': 'https://media.keadatabase.nz/media/birds/tuhura/tuhura2.jpg'}, 'profile_picture_attribution': 'George Moon'}, 'get_age': 2, 'get_life_stage': 'Sub-Adult', 'study_area': 'Waimakariri', 'band_combo': 'Yellow G on Black', 'name': 'Tuhura', 'birthday': '2017-01-01', 'primary_band': 'V-2561', 'date_modified': '2018-04-04T11:00:42.640362+12:00', 'date_imported': '2017-08-04T17:36:42+12:00'}","Banded, readable",Juvenile,Male,4611,juvenile,False,male,2199,2018-11-11,"{'type': 'Point', 'coordinates': [171.56057022426006, -42.93505945916194]}",11:30:00
3496,,unbanded,,Not banded,,,4669,,False,,2232,2018-11-11,"{'type': 'Point', 'coordinates': [169.82872009277344, -43.40828997594124]}",06:24:00
3497,,unbanded,,Not banded,,,4670,,False,,2232,2018-11-11,"{'type': 'Point', 'coordinates': [169.82872009277344, -43.40828997594124]}",06:24:00
3498,,unbanded,,Not banded,,,4671,,False,,2232,2018-11-11,"{'type': 'Point', 'coordinates': [169.82872009277344, -43.40828997594124]}",06:24:00
3499,,unbanded,,Not banded,,,4613,,False,,2200,2018-11-10,"{'type': 'Point', 'coordinates': [170.1827802332183, -43.38786334847873]}",18:40:00
3500,,unbanded,,Not banded,,,4613,,False,,2200,2018-11-10,"{'type': 'Point', 'coordinates': [170.1827802332183, -43.38786334847873]}",18:40:00
3501,,unknown,,Couldn't tell,,,4654,,False,,2222,2018-11-10,"{'type': 'Point', 'coordinates': [171.74987634307146, -43.284165044172845]}",15:30:00
3502,Black H on Blue,readable,,"Banded, readable",Adult,Male,4607,adult,False,male,2192,2018-11-10,"{'type': 'Point', 'coordinates': [171.56554145812993, -42.94621156067069]}",12:15:00
3503,,unbanded,,Not banded,,,4622,,False,,2205,2018-11-10,"{'type': 'Point', 'coordinates': [167.61922359466553, -45.38521961638856]}",12:00:00
3504,,unknown,,Couldn't tell,Adult,Male,4761,adult,False,male,2283,2018-11-10,"{'type': 'Point', 'coordinates': [170.07307680029362, -43.862461486915386]}",10:00:00
3505,,unbanded,,Not banded,Juvenile,Male,4759,juvenile,False,male,2283,2018-11-10,"{'type': 'Point', 'coordinates': [170.07307680029362, -43.862461486915386]}",10:00:00
3506,,unknown,,Couldn't tell,Adult,Female,4760,adult,False,female,2283,2018-11-10,"{'type': 'Point', 'coordinates': [170.07307680029362, -43.862461486915386]}",10:00:00
3507,,unknown,,Couldn't tell,,,4606,,False,,2191,2018-11-09,"{'type': 'Point', 'coordinates': [168.21231526559222, -44.72872599399145]}",13:32:00
3508,,unknown,,Couldn't tell,,,4605,,False,,2191,2018-11-09,"{'type': 'Point', 'coordinates': [168.21231526559222, -44.72872599399145]}",13:32:00
3509,,unknown,,Couldn't tell,,,4608,,False,,2193,2018-11-07,"{'type': 'Point', 'coordinates': [171.61599788998024, -42.88320175623894]}",11:40:00
3510,,unknown,,Couldn't tell,,,4598,,False,,2185,2018-11-07,"{'type': 'Point', 'coordinates': [167.97293514828516, -44.76288930557767]}",01:35:00
3511,,unknown,,Couldn't tell,,,4599,,False,,2185,2018-11-07,"{'type': 'Point', 'coordinates': [167.97293514828516, -44.76288930557767]}",01:35:00
3512,,unknown,,Couldn't tell,,,4610,,False,,2198,2018-11-06,"{'type': 'Point', 'coordinates': [171.58679034907595, -43.007622739362375]}",20:55:00
3513,,unknown,,Couldn't tell,Juvenile,,4619,juvenile,False,,2202,2018-11-06,"{'type': 'Point', 'coordinates': [169.91344374308346, -43.676072499965244]}",17:00:00
3514,,unbanded,,Not banded,Adult,,4616,adult,False,,2202,2018-11-06,"{'type': 'Point', 'coordinates': [169.91344374308346, -43.676072499965244]}",17:00:00
3515,,unknown,,Couldn't tell,Juvenile,,4618,juvenile,False,,2202,2018-11-06,"{'type': 'Point', 'coordinates': [169.91344374308346, -43.676072499965244]}",17:00:00
3516,,unbanded,,Not banded,Adult,,4615,adult,False,,2202,2018-11-06,"{'type': 'Point', 'coordinates': [169.91344374308346, -43.676072499965244]}",17:00:00
3517,,unbanded,,Not banded,Adult,,4617,adult,False,,2202,2018-11-06,"{'type': 'Point', 'coordinates': [169.91344374308346, -43.676072499965244]}",17:00:00
3518,Black S on Pink,readable,"{'slug': 'kester', 'status': 'Dead', 'sex': 'Male', 'bird_extended': {'description': ""This cheeky little fella is often seen with a bunch of others around the village. \r\n\r\nThis kea is named after Kester—a boy who lives in Arthur's Pass village, in fact one of only four children that live there! Kester's mum and dad are highly active in conservation, are members of the Arthur's Pass Wildlife Trust and dedicate a lot of their time to trapping, weeding and APWT admin. They come and help out with kea conservation work whenever they can and Kester and his brother Asher (who also has a kea named after him) are learning all about kea conservation in their spare time. \r\n\r\nArthur's Pass Wildlife Trust play a significant role in kea conservation and advocacy work as well as working hard to protect a range of other species.\r\n\r\nUpdate: November 7th 2018 - Kester was found dead at Temple Basin. He probably died as a result of a high-speed mid air collision with something. He was tested for lead (Pb) poisoning in September and was found to have extremely high lead levels in his system. Lead has numerous physiological impacts on kea, just as it does in humans (e.g. slow response times, impaired neurological function and more) which suggests his ability to respond to dangers in his environment could well have been compromised."", 'is_featured': False, 'sponsor_name': ""Arthur's Pass Wildlife Trust"", 'sponsor_website': 'http://apwt.org.nz/', 'profile_picture': {'large': 'https://media.keadatabase.nz/media/__sized__/birds/kester/Kester_AP_Oct_1_2018-crop-c0-5__0-5-500x500-70.jpg', 'thumbnail': 'https://media.keadatabase.nz/media/__sized__/birds/kester/Kester_AP_Oct_1_2018-crop-c0-5__0-5-350x250-70.jpg', 'full_size': 'https://media.keadatabase.nz/media/birds/kester/Kester_AP_Oct_1_2018.jpg'}, 'profile_picture_attribution': 'Laura Young'}, 'get_age': None, 'get_life_stage': None, 'study_area': 'Waimakariri', 'band_combo': 'Black S on Pink', 'name': 'Kester', 'birthday': '2017-01-01', 'primary_band': 'V-2235', 'date_modified': '2019-08-18T01:52:45.865242+12:00', 'date_imported': '2018-11-07T11:18:09+13:00'}","Banded, readable",Juvenile,Male,4596,juvenile,False,male,2184,2018-11-06,"{'type': 'Point', 'coordinates': [171.57666715120672, -42.90851513400745]}",12:00:00
