,band_combo,description,is_featured,full_size,large,thumbnail,profile_picture_attribution,sponsor_name,sponsor_website,birthday,date_imported,date_modified,get_age,get_life_stage,name,primary_band,sex,slug,status,study_area,colours,date_deployed,special,style,symbols
58,White O on Orange,Fraser was banded in South Okarito Forest in August 2011 by Jacinda Amy. He had a transmitter attached and was tracked for  2 years.,False,https://media.keadatabase.nz/media/birds/fraser/Rata_2011_110111.JPG,https://media.keadatabase.nz/media/__sized__/birds/fraser/Rata_2011_110111-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/fraser/Rata_2011_110111-crop-c0-5__0-5-350x250-70.JPG,,,,2009-01-01,2017-06-28T00:21:21.694459+12:00,2018-04-04T11:00:29.814204+12:00,10,Adult,Fraser,V-0784,Male,fraser,Alive,Westland,"['white', 'orange']",2011-08-03,,new,['O']
59,Black 4 on Grey,"Gary Chisholm was banded by Mark and Margaret at Porters ski field in September 2017 as a fledgling. He is almost certainly the offspring of Anthea who was seen with him at the time. 

His sponsor often skis at Porters and is very interested in the welfare of kea. While at Porters he often needs to remind people not to feed kea.  Kea are quite capable of foraging for themselves in the mountains. Eating human food does them more harm than good.

If you see people feeding kea, please ask them nicely to stop - and explain why.",False,https://media.keadatabase.nz/media/birds/gary-chisholm/Gary_Chisholm.JPG,https://media.keadatabase.nz/media/__sized__/birds/gary-chisholm/Gary_Chisholm-crop-c0-37__0-35-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/gary-chisholm/Gary_Chisholm-crop-c0-37__0-35-350x250-70.JPG,Mark Brabyn,Gary Chisholm Trust,,2017-01-01,2018-01-11T10:29:01+13:00,2018-04-04T11:00:25.279356+12:00,2,Sub-Adult,Gary Chisholm,V-2533,Male,gary-chisholm,Alive,Waimakariri,"['black', 'grey']",2017-09-23,,new,['4']
60,White J on Green,"Gaspode was banded before 2013, but unfortunately hasn't been sighted in a while.",False,https://media.keadatabase.nz/media/birds/gaspode/gaspode.jpg,https://media.keadatabase.nz/media/__sized__/birds/gaspode/gaspode-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/gaspode/gaspode-crop-c0-5__0-5-350x250-70.jpg,"Brian Ralphs (CC BY 2.0, Flickr)",,,2012-01-01,2017-06-28T00:21:21.832066+12:00,2018-06-18T14:34:58.564265+12:00,7,Adult,Gaspode,V-2359,Undetermined,gaspode,Alive,Waimakariri,"['white', 'green']",2012-05-18,,new,['J']
61,Black G on White,"Geddy Lee was sponsored in August 2017 by Mark Westaway.

Mark explains the name choice:

""What you say about his company is what you say about society."" 

From the legendary Canadian rock band Rush, Geddy Lee is a distinct Canadian icon. Much like the kea of NZ this band has survived the test of time due to ingenuity. 
His name & the band has survived from dedicated fanfare and persistence. The kea and their band must survive with the help of their collective fanfare!",False,https://media.keadatabase.nz/media/birds/geddy-lee/geddy_lee.JPG,https://media.keadatabase.nz/media/__sized__/birds/geddy-lee/geddy_lee-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/geddy-lee/geddy_lee-crop-c0-5__0-5-350x250-70.JPG,Annette Ching,Mark Westaway,,2017-01-01,2017-09-01T21:06:53+12:00,2018-04-04T11:00:25.395558+12:00,2,Sub-Adult,Geddy Lee,V-0637,Male,geddy-lee,Alive,Waimakariri,"['white', 'black']",2017-08-12,,new,['G']
62,White D on Orange,Gob was caught and banded by Amanda Greer at Deaths Corner in May 2012 as a fledgling. He was seen in December 2017 hanging out in the upper Otira valley with Screech and a young juvenile. Fledglings and juveniles will hang out with older birds that are not always their parents. While they are still learning to feed for themselves they will often beg for food from them. This involves lots of squawking with wings slightly out and head lowered.,False,https://media.keadatabase.nz/media/birds/gob/Gob.JPG,https://media.keadatabase.nz/media/__sized__/birds/gob/Gob-crop-c0-54__0-35-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/gob/Gob-crop-c0-54__0-35-350x250-70.JPG,Kenneth Sloss,,,2012-01-01,2017-06-28T00:21:22.002118+12:00,2018-06-18T14:34:58.738641+12:00,7,Adult,Gob,V-2354,Male,gob,Alive,Waimakariri,"['white', 'orange']",2012-05-18,,new,['D']
63,White 7 on Brown,Gorliz was banded by Tom Goodman in January 2018 as part of the KCT Summer Survey. She had a transmitter fitted so that she can be tracked back to her nesting cavity.  Once this is found a trail camera is set up outside so we can then determine the success rate of her breeding.,False,https://media.keadatabase.nz/media/birds/gorliz/White7onBrown3.JPG,https://media.keadatabase.nz/media/__sized__/birds/gorliz/White7onBrown3-crop-c0-64__0-4-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/gorliz/White7onBrown3-crop-c0-64__0-4-350x250-70.JPG,Mark Brabyn,,,2014-01-01,2018-04-04T11:00:30.469350+12:00,2018-04-04T11:00:30.480974+12:00,5,Adult,Gorliz,V-1329,Female,gorliz,Alive,Waimakariri,"['white', 'brown']",2018-01-09,,new,['7']
64,Black G on White,Graham is often found hanging around Treble Cone ski-field.,False,https://media.keadatabase.nz/media/birds/graham/Graham.jpeg,https://media.keadatabase.nz/media/__sized__/birds/graham/Graham-crop-c0-57__0-26-500x500-70.jpeg,https://media.keadatabase.nz/media/__sized__/birds/graham/Graham-crop-c0-57__0-26-350x250-70.jpeg,Annika Werner,,,2013-01-01,2017-06-28T00:21:36.967920+12:00,2018-04-04T11:00:30.493918+12:00,6,Adult,Graham,V-1324,Male,graham,Alive,Wanaka,"['white', 'black']",2016-07-12,,new,['G']
65,White 9 on Pink,"Greenie was named by the year 3 & 4 students of Waltham Primary School because keas are green and the students of the school are all “greenies”. The students can all relate to keas as they are also “intelligent, fun, mischievious, and a little bit cheeky”. 
Other top contenders for his name were James Cook, Waltham and Te Puni.

Greenie was banded as a fledgling on the summit of Avalanche Peak in March 2018 by Mark Brabyn and John Piserchio (from USA). Greenie is almost certainly the brother of Haurangi who was banded at the same time.",False,https://media.keadatabase.nz/media/birds/greenie/White9onPink.JPG,https://media.keadatabase.nz/media/__sized__/birds/greenie/White9onPink-crop-c0-55__0-48-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/greenie/White9onPink-crop-c0-55__0-48-350x250-70.JPG,Mark Brabyn,Waltham Primary School,https://www.waltham.school.nz/,2018-01-01,2018-06-28T08:42:49+12:00,2018-06-28T08:42:50.071581+12:00,1,Juvenile,Greenie,V-2164,Male,greenie,Alive,Waimakariri,"['white', 'pink']",2018-03-18,,new,['9']
66,White N on Green,This is one of the few adult females that we've seen in Arthur's Pass village in 2018. She arrived one day late December 2018 with a group of unbanded kea including another adult female and a bunch of juveniles. This female kea is named after a prominent mountain in the Waimakariri - Mt Guinevere.,False,https://media.keadatabase.nz/media/birds/guinevere/P1140212.JPG,https://media.keadatabase.nz/media/__sized__/birds/guinevere/P1140212-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/guinevere/P1140212-crop-c0-5__0-5-350x250-70.JPG,L Young,,,2014-01-01,2019-01-03T20:38:41+13:00,2019-01-03T20:38:49.034696+13:00,5,Adult,Guinevere,V-2567,Female,guinevere,Alive,Waimakariri,"['white', 'green']",2018-12-21,,new,['N']
67,Black W on White,Gullible was banded in December 2017 as a fledgling at French Ridge hut in Aspiring National Park by Tom Goodman. He was recaptured in January 2018 by Corey Mosen to obtain a blood sample for Vitamin D testing.,False,https://media.keadatabase.nz/media/birds/gullible/Gullible.JPG,https://media.keadatabase.nz/media/__sized__/birds/gullible/Gullible-crop-c0-34__0-35-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/gullible/Gullible-crop-c0-34__0-35-350x250-70.JPG,Steven Frisch,,,2017-01-01,2018-04-04T11:00:30.629986+12:00,2018-04-04T11:00:30.639722+12:00,2,Sub-Adult,Gullible,V-1565,Male,gullible,Alive,Wanaka,"['white', 'black']",2017-12-21,,new,['W']
68,White AA on Black,This young male kea was banded at Moturau hut on the Kepler Track during August 2019. He is named Guy McKinnon who works as a ranger for the Department of Conservation and you may just see him around working in Te Anau or out and about on missions in Fiordland's back country. Guy is a passionate advocate for conservation in NZ's back country and recreation.,False,https://media.keadatabase.nz/media/birds/guy/Kea_at_Moturau_Lou_Evans_for_Guy_profile.jpg,https://media.keadatabase.nz/media/__sized__/birds/guy/Kea_at_Moturau_Lou_Evans_for_Guy_profile-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/guy/Kea_at_Moturau_Lou_Evans_for_Guy_profile-crop-c0-5__0-5-350x250-70.jpg,Lou Evans,,,2019-01-01,2019-09-12T13:58:32+12:00,2019-09-12T13:58:34.749724+12:00,0,Fledgling,Guy,V-3201,Male,guy,Alive,Fiordland,"['white', 'black']",2019-08-21,,new,['AA']
69,Black Z on White,"Handlebars was a large male kea who was caught and banded during part of a survey in the Otira / Deception area during 2013. The survey was carried out to test out bird repellents on poison baits during a large pest control operation to see if they would deter kea from eating the baits. 

Laura and Lucy caught and banded Handlebars and named him after their affectionate nickname for their helicopter pilot (""Handlebars"")! 

He is seen alive and well in Arthur's Pass village from time to time.",False,https://media.keadatabase.nz/media/birds/handlebars/When_shall_we_three_meet_again_crop....jpg,https://media.keadatabase.nz/media/__sized__/birds/handlebars/When_shall_we_three_meet_again_crop...-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/handlebars/When_shall_we_three_meet_again_crop...-crop-c0-5__0-5-350x250-70.jpg,Laura Young,,,2012-01-01,2017-06-28T00:21:22.282012+12:00,2018-04-04T11:00:30.775540+12:00,7,Adult,Handlebars,V-1634,Female,handlebars,Alive,Waimakariri,"['white', 'black']",2013-05-10,,new,['Z']
70,White J on Blue,'Harikoa' in te reo Māori means happiness or delight. Kea seem to delight in everything - and they also invoke delight in everyone who encounters them for the first time.,False,https://media.keadatabase.nz/media/birds/harikoa/Harikoa_White_J_on_Blue_Arthur_de_Sarrieu.jpg,https://media.keadatabase.nz/media/__sized__/birds/harikoa/Harikoa_White_J_on_Blue_Arthur_de_Sarrieu-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/harikoa/Harikoa_White_J_on_Blue_Arthur_de_Sarrieu-crop-c0-5__0-5-350x250-70.jpg,Arthur de Sarrieu,,,2019-01-01,2019-04-24T16:35:58+12:00,2019-04-24T16:35:56.075175+12:00,0,Fledgling,Harikoa,V-1099,Female,harikoa,Alive,Waimakariri,"['white', 'blue']",2019-03-28,,new,['J']
71,Yellow . on Black,"Harley Quinn is named after the super-villain nemesis of Batman. Unlike her namesake, she has a quiet personality, but an amazing one. She is often found around the large trees near the ski hut in the middle of the kea aviary at Willowbank. She has made great progress with training and is one of the most reliably working females - when her brothers are occupied otherwise as they love nothing more then disturbing their sister.",False,https://media.keadatabase.nz/media/birds/harley-quinn/Harley_Quinn5.JPG,https://media.keadatabase.nz/media/__sized__/birds/harley-quinn/Harley_Quinn5-crop-c0-44__0-34-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/harley-quinn/Harley_Quinn5-crop-c0-44__0-34-350x250-70.JPG,Mark Brabyn,,,2014-08-14,2017-10-13T11:13:42+13:00,2017-10-13T11:13:42.991121+13:00,5,Adult,Harley Quinn,,Female,harley-quinn,Alive,Willowbank,"['yellow', 'black']",2017-10-13,,new,[]
72,Black U on Blue,"Haurangi was banded as fledgling kea  on the summit of Avalanche Peak, Arthur's Pass National Park in March 2018 by Mark and Radomirlev from the Czech Republic.

Lyttleton Primary School was given the honour of naming this kea. The name Haurangi was put forward by the Raupo Class (years 5 & 6) and this was voted by the whole of the Rakanui group as the best name.

Haurangi means rascal in Māori. ""We thought this would be a good name because keas are very curious, very clever and sometimes a little bit mischievious."" Just like the pupils of Lyttelton Primary.",False,https://media.keadatabase.nz/media/birds/haurangi/Haurangi.JPG,https://media.keadatabase.nz/media/__sized__/birds/haurangi/Haurangi-crop-c0-63__0-27-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/haurangi/Haurangi-crop-c0-63__0-27-350x250-70.JPG,Mark Brabyn,Lyttelton Primary School,http://www.lyttelton.school.nz/,2018-01-01,2018-07-09T09:55:48+12:00,2018-07-09T09:55:49.518238+12:00,1,Juvenile,Haurangi,V-2188,Male,haurangi,Alive,Waimakariri,"['blue', 'black']",2018-03-18,,new,['U']
73,White E on Brown,"Haututū was banded as an adult in Arthur's Pass township in March 2018 by George and Mark.

Translated from Māori, Haututū means 'be mischievous, insubordinate, troublesome'.

Haututū was named by staff at Catalyst (a sponsor of the Kea Database) through a two-round naming poll (with some level of arbitrary moderation to prevent names like Birdy McBirdface).",False,https://media.keadatabase.nz/media/birds/haututu/WhiteEonBrown.JPG,https://media.keadatabase.nz/media/__sized__/birds/haututu/WhiteEonBrown-crop-c0-37__0-24-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/haututu/WhiteEonBrown-crop-c0-37__0-24-350x250-70.JPG,Mark Brabyn,Catalyst,http://catalyst.net.nz,2014-01-01,2018-05-25T16:00:46+12:00,2018-05-25T16:01:30.010539+12:00,5,Adult,Haututu,V-2191,Male,haututu,Alive,Waimakariri,"['white', 'brown']",2018-03-07,,new,['E']
74,Black P on Green,"'Herb' is a male kea, banded at Milford Sound, Fiordland and is named after the father of one of the team! Dad came to help out the team on the kea banding trip throughout all of March and showed some amazing dedication to the cause.

Did you know that kea mostly nest in native forest? Some nest cavities are found right down at sea level.",False,https://media.keadatabase.nz/media/birds/herb/IMG_5244.JPG,https://media.keadatabase.nz/media/__sized__/birds/herb/IMG_5244-crop-c0-32__0-52-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/herb/IMG_5244-crop-c0-32__0-52-350x250-70.JPG,LM Young,,,2017-01-01,2019-04-23T01:54:18+12:00,2019-04-23T01:54:18.664630+12:00,2,Sub-Adult,Herb,V-1456,Male,herb,Alive,Fiordland,"['black', 'green']",2019-03-16,,new,['P']
75,Black G on Yellow,"This lovely young kea 'Hetti' was named by Tanja, a long term Arthur's Passian who helped us out on kea conservation work in the area. 

Did you know that kea are among the cleverest of birds in the world? They can even work together in a team to figure out a complex puzzle in no time!

Hetti was treated for lead poisoning in May 2019 and then released into the Hawdon valley. 

She is checked up on every month during a radio tracking flight and doing well and is still hanging out in the Hawdon Valley with some of the more wild birds.",False,https://media.keadatabase.nz/media/birds/hetti/Hetti_Bk_G_Y_Arthur_de_Sarrieu.jpg,https://media.keadatabase.nz/media/__sized__/birds/hetti/Hetti_Bk_G_Y_Arthur_de_Sarrieu-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/hetti/Hetti_Bk_G_Y_Arthur_de_Sarrieu-crop-c0-5__0-5-350x250-70.jpg,Arthur de Sarrieu,,,2019-01-01,2019-04-18T00:00:59+12:00,2019-08-18T01:52:43.321227+12:00,0,Fledgling,Hetti,V-2505,Male,hetti,Alive,Waimakariri,"['yellow', 'black']",2019-03-06,,new,['G']
76,Red M on White,"This female kea was just named 'Hipi Pukepuke' by Flock Hill
Hipi Pukepuke is the Māori name for the Flock Hill Station.

She was banded in Arthur's Pass township in January 2017.",False,https://media.keadatabase.nz/media/birds/hipi-pukepuke/Hipi_Pukepuke2.JPG,https://media.keadatabase.nz/media/__sized__/birds/hipi-pukepuke/Hipi_Pukepuke2-crop-c0-59__0-4-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/hipi-pukepuke/Hipi_Pukepuke2-crop-c0-59__0-4-350x250-70.JPG,,Flock Hill Station,http://www.flockhill.co.nz/,2017-01-01,2017-06-28T00:21:29+12:00,2018-04-04T11:00:31.365725+12:00,2,Sub-Adult,Hipi Pukepuke,V-2633,Female,hipi-pukepuke,Alive,Waimakariri,"['white', 'red']",2017-01-12,,new,['M']
77,Yellow F on Blue,Hobbit was caught and banded in Okarito forest in November 2007. She was fitted with radio transmitter and her nest cavity was located. She has had several broods and is pictured with very young chicks.,False,https://media.keadatabase.nz/media/birds/hobbit/Hobbit_2011_080811_02.JPG,https://media.keadatabase.nz/media/__sized__/birds/hobbit/Hobbit_2011_080811_02-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/hobbit/Hobbit_2011_080811_02-crop-c0-5__0-5-350x250-70.JPG,Brent Barrett,,,2005-01-01,2017-06-28T00:21:22.524201+12:00,2018-04-04T11:00:31.387667+12:00,14,Adult,Hobbit,V-1554,Female,hobbit,Alive,Westland,"['yellow', 'blue']",2012-08-28,,new,['F']
78,White O on Orange,"Hohoro was caught and banded in October 2016 as a juvenile. He can often be seen in Arthur's Pass township opposite the store. Hohoro is a Maori word that translates to ""be quick, speedy, fast, swift"".

Hohoro was our very first sponsored kea. Thank you Christchurch Gondola for having early confidence in the Kea Sightings Project.",False,https://media.keadatabase.nz/media/birds/hohoro/Hohoro_Paul_Guest.jpg,https://media.keadatabase.nz/media/__sized__/birds/hohoro/Hohoro_Paul_Guest-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/hohoro/Hohoro_Paul_Guest-crop-c0-5__0-5-350x250-70.jpg,Paul Guest,Christchurch Gondola,http://welcomeaboard.co.nz/gondola/,2014-01-01,2017-06-28T00:21:22.562971+12:00,2018-04-04T11:00:24.112833+12:00,5,Adult,Hohoro,V-2320,Male,hohoro,Alive,Waimakariri,"['white', 'orange']",2016-10-15,,new,['O']
79,Red X on White,"Hopey was banded at Death's Corner  in March 2017 as a fledgling. He was banded with other fledglings, Jane Goodall, Bealey and Cotswold who could be his siblings. 
Hopey was named by Jamie Ward Building who built the Kea Kiosk in Arthur's Pass village. Hopey is named after a good friend who used to tinker a lot and was very inquisitive.",False,https://media.keadatabase.nz/media/birds/hopey/P4094601.JPG,https://media.keadatabase.nz/media/__sized__/birds/hopey/P4094601-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/hopey/P4094601-crop-c0-5__0-5-350x250-70.JPG,Laura Young,Jamie Ward Building,https://builderscrack.co.nz/tradies/r9b36vw/jamie-ward-builder-limited,2017-01-01,2017-06-28T00:21:37.529906+12:00,2018-04-04T11:00:24.254330+12:00,2,Sub-Adult,Hopey,V-1014,Male,hopey,Alive,Waimakariri,"['white', 'red']",2017-03-17,,new,['X']
80,Yellow U on Black,"Huckleberry is (in)famous for hanging around Monkey Creek, on the Milford Highway, and pestering the local DOC rangers!! He was given the affectionate name 'Huckleberry' by Ranger Cam long before he was caught and banded.",True,https://media.keadatabase.nz/media/birds/huckleberry/Huckleberry.jpg,https://media.keadatabase.nz/media/__sized__/birds/huckleberry/Huckleberry-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/huckleberry/Huckleberry-crop-c0-5__0-5-350x250-70.jpg,Cam Hall,,,2016-01-01,2019-04-19T11:45:37+12:00,2019-04-26T21:16:42.155287+12:00,3,Sub-Adult,Huckleberry,V-1428,Male,huckleberry,Alive,Fiordland,"['yellow', 'black']",2019-03-20,,new,['U']
81,Yellow 5 on Blue,"Huff Tuft was banded in August 2017 by Mark Brabyn and Kate from Arthur's Pass.

He was named by Frances Blakely after the young male kea in Phillip Temple's wonderful novel about keas: 'Beak of the Moon'.",False,https://media.keadatabase.nz/media/birds/huff-tuft/Huff-Tuft1.JPG,https://media.keadatabase.nz/media/__sized__/birds/huff-tuft/Huff-Tuft1-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/huff-tuft/Huff-Tuft1-crop-c0-5__0-5-350x250-70.JPG,Val Clemens,Frances Blakely,,2017-01-01,2017-09-18T15:38:24+12:00,2018-04-04T11:00:31.575543+12:00,2,Sub-Adult,Huff Tuft,V-1308,Male,huff-tuft,Alive,Waimakariri,"['yellow', 'blue']",2017-08-29,,new,['5']
82,Green / Orange - x / Metal,"Hugh was banded as a juvenile in November 2010 at Deaths Corner, Arthur's Pass by Raoul Schwing.",False,https://media.keadatabase.nz/media/birds/hugh/Hugh.JPG,https://media.keadatabase.nz/media/__sized__/birds/hugh/Hugh-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/hugh/Hugh-crop-c0-5__0-5-350x250-70.JPG,Mark Brabyn,,,2009-01-01,2017-06-28T00:21:22.784818+12:00,2018-04-04T11:00:31.593433+12:00,10,Adult,Hugh,V-0753,Male,hugh,Alive,Waimakariri,"['metal', 'orange', 'green']",2010-11-04,,old,[]
83,Green F on Black,"This kea is one of many new fledglings seen during the 2019 winter months which have appeared as part of a second clutch in what has been an unusually prolific breeding season.

Hugh Logan is named after an exceptional man who has done a vast amount for the environmental cause over the years; he has also achieved a huge amount more in the outdoor recreation space and given so much of his time. 

Hugh has been Chair of the NZ Land and Water Forum (a stakeholder group advising the NZ Government on freshwater policy). He previously headed the NZ Ministry for the Environment, was former Director General of the Department of Conservation and headed the NZ Antarctic Programme (now Antarctica NZ). He has served as President of the Canterbury Mountaineering Club and New Zealand Alpine Club, is the author of Mt Cook guidebook and Classic Peaks of New Zealand and has a long history of climbing and skiing in the Arthur's Pass area. Hence we thought it fitting to have a kea in Hugh's name to celebrate all he has given to the cause.",False,https://media.keadatabase.nz/media/birds/hugh-logan/TobyMansonPhoto_Kea_MilfordSound-2017-12.jpg,https://media.keadatabase.nz/media/__sized__/birds/hugh-logan/TobyMansonPhoto_Kea_MilfordSound-2017-12-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/hugh-logan/TobyMansonPhoto_Kea_MilfordSound-2017-12-crop-c0-5__0-5-350x250-70.jpg,Toby Manson,,,2019-01-01,2019-08-29T11:59:17+12:00,2019-08-29T11:59:34.249592+12:00,0,Fledgling,Hugh Logan,V-3246,Male,hugh-logan,Alive,Waimakariri,"['green', 'black']",2019-08-24,,new,['F']
84,White X on Red,"'Irwin' is named after the Wyn Irwin Lodge, owned and operated by the Canterbury Mountaineering Club at Aoraki/Mt Cook village. Cam Mulvey named this kea after the place (see also Irwin's sibling, 'Wyn'). Cam is essentially the guardian of this neck of the woods, keeps a good eye on the local kea and keeps us in the loop as to what's happening with the kea population here. He also takes wonderful photographs, especially of kea and mountains, and encourages other people to keep an eye on nature.

Mel from the VC is also on the job, keeping an eye on local kea, accumulating kea sightings from visitors to the area and entering them into the sightings database. How important it is to have locals keeping an eye on kea!

A lot of kea research went on in the area until about ten years ago. Researchers from Vienna, Austria spent a lot of time around Aoraki observing kea to gain a better understanding of their behavioural biology. Several PhD students from the University of Canterbury also spent time in the area researching the then reasonably plentiful kea population. Not a lot has happened since but hopefully things are about to change! With the beginnings of the kea sighting project kicking off in other areas where kea and humans interact, and the Kea Conservation Trust's lead removal project, there will be more work happening here. Watch this space.",False,https://media.keadatabase.nz/media/birds/irwin/Kea_flying_back_Aoraki.jpg,https://media.keadatabase.nz/media/__sized__/birds/irwin/Kea_flying_back_Aoraki-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/irwin/Kea_flying_back_Aoraki-crop-c0-5__0-5-350x250-70.jpg,Cam Mulvey,,,2019-01-01,2019-04-17T14:38:52+12:00,2019-04-17T14:39:07.806052+12:00,0,Fledgling,Irwin,V-0524,Male,irwin,Alive,Aoraki,"['white', 'red']",2019-03-14,,new,['X']
85,Yellow 6 on Blue,Jack usually likes investigating all of the comings and goings on the Milford Road.,False,https://media.keadatabase.nz/media/birds/jack/DSC_1213-3.jpg,https://media.keadatabase.nz/media/__sized__/birds/jack/DSC_1213-3-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/jack/DSC_1213-3-crop-c0-5__0-5-350x250-70.jpg,Anja Kohler,Laurie Winter Photography,http://www.lauriewinterphotography.com,2006-01-01,2017-06-28T00:21:22.998638+12:00,2018-04-04T11:00:31.969205+12:00,13,Adult,Jack,V-0013,Male,jack,Alive,Fiordland,"['yellow', 'blue']",2013-07-23,,new,['6']
86,White P on Pink,"Jade was banded as a fledgling in Arthur's Pass township in March 2018 by Martina and Mark. Martina has worked for two years on the intelligence of captive kea at Willowbank Wildlife Reserve. Together with the New Caledonian crow, kea are thought to be one of the most intelligent birds in the world.
Chisnallwood Intermediate School sponsored and named Jade after a visit and talk to the school from the Kea Sighting Project team. The school do winter ski trips where they frequently see kea. Hopefully they will be able to report sightings of Jade when they next visit Arthur's Pass.",False,https://media.keadatabase.nz/media/birds/jade/WhitePonPink.JPG,https://media.keadatabase.nz/media/__sized__/birds/jade/WhitePonPink-crop-c0-41__0-4-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/jade/WhitePonPink-crop-c0-41__0-4-350x250-70.JPG,Mark Brabyn,Chisnallwood Intermediate,http://www.chisnallwood.school.nz/,2018-01-01,2018-04-12T11:03:33+12:00,2018-04-12T11:05:12.893878+12:00,1,Juvenile,Jade,V-2196,Male,jade,Alive,Waimakariri,"['white', 'pink']",2018-03-07,,new,['P']
87,Black # on Yellow,,False,https://media.keadatabase.nz/media/birds/jane-goodall/IMG_8011.JPG,https://media.keadatabase.nz/media/__sized__/birds/jane-goodall/IMG_8011-crop-c0-7__0-3-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/jane-goodall/IMG_8011-crop-c0-7__0-3-350x250-70.JPG,Laura Young,,,2017-01-01,2017-06-28T00:21:37.548341+12:00,2018-04-04T11:00:32.154196+12:00,2,Sub-Adult,Jane Goodall,V-0378,Female,jane-goodall,Alive,Waimakariri,"['yellow', 'black']",2017-03-17,,new,['#']
88,White J on Brown,Jedi was banded above Hawdon Hut near the track to Walker Pass by Lydia and Mark during the 2018 Hawdon Summer Kea Survey. This annual survey gives us an indication of numbers of kea in the area and whether or not predator control is working.,False,https://media.keadatabase.nz/media/birds/jedi/Jedi.JPG,https://media.keadatabase.nz/media/__sized__/birds/jedi/Jedi-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/jedi/Jedi-crop-c0-5__0-5-350x250-70.JPG,Mark Brabyn,,,2017-01-01,2018-03-14T14:22:29+13:00,2018-04-04T11:00:25.507326+12:00,2,Sub-Adult,Jedi,V-2163,Male,jedi,Alive,Waimakariri,"['white', 'brown']",2018-01-16,,new,['J']
89,Black AD on White,"This kea, banded at Monkey Creek in August 2019, is named after Jeff Connell, ONZM. Among many achievements in a distinguished career in conservation, in his role as DOC Otago Conservator from 1989 to 2009 Jeff helped to secure kea habitat and reduce sheep/kea conflicts. “I have always loved those birds”, says Jeff.

We are honoured to name this kea after Jeff to recognise him for all his efforts and achievements.",False,https://media.keadatabase.nz/media/birds/jeff-connell/Jeff_Connell_Milford_Road_kea_18.08.19-12.jpg,https://media.keadatabase.nz/media/__sized__/birds/jeff-connell/Jeff_Connell_Milford_Road_kea_18.08.19-12-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/jeff-connell/Jeff_Connell_Milford_Road_kea_18.08.19-12-crop-c0-5__0-5-350x250-70.jpg,Crystal Brindle,,,2016-01-01,2019-08-29T22:13:32+12:00,2019-08-29T22:13:34.429253+12:00,3,Sub-Adult,Jeff Connell,V-3151,Male,jeff-connell,Alive,Fiordland,"['black', 'white']",2019-08-18,,new,['AD']
